Doc No,SubTotal,Total,Invoice Vendor No,Invoice Vendor Date Format (YYYY-MM-DD),Payment Date Format (YYYY-MM-DD),UUID,Remarks
OPRC-DLV0000815,89.181,103.45,,,,,
OPRC-DLV0000816,557.216,646.37,,,,,
OPRC-DLV0000817,384.509,446.03,,,,,
OPRC-DLV0000818,656.966,762.08,,,,,
OPRC-DLV0000823,290.345,336.8,,,,,
OPRC-DLV0000825,269.129,312.19,,,,,
OPRC-DLV0000844,183.681,213.07,,,,,
OPRC-DLV0000845,182.759,212,,,,,
OPRC-DLV0000846,2945.17,3416.4,,,,,
OPRC-DLV0000847,1085.7,1215.98,,,,,
OPRC-DLV0000862,170.5,191.76,,,,,
OPRC-DLV0000863,155.22,180.06,,,,,
OPRC-DLV0000865,392.75,455.59,,,,,
OPRC-DLV0000866,358.14,358.14,,,,,
OPRC-DLV0000867,149.5,168.24,,,,,
OPRC-DLV0000868,238.05,276.14,,,,,
OPRC-DLV0000874,94.28,109.36,,,,,
OPRC-DLV0000881,308.03,347.4,,,,,
OPRC-DLV0000882,554.77,621.35,,,,,
OPRC-DLV0000884,2670.03,3097.23,,,,,
OPRC-DLV0000921,291.1,337.68,,,,,
OPRC-DLV0000922,182.32,211.4,,,,,
OPRC-DLV0000927,1150,1290,,,,,
OPRC-DLV0000929,4350,4926,,,,,
OPRC-DLV0000931,322.49,322.49,,,,,
OPRC-DLV0000934,1416.13,1586.06,,,,,
OPRC-DLV0000935,149.5,168.24,,,,,
OPRC-DLV0000942,797.6,925.22,,,,,
OPRC-DLV0000943,1685.17,2169.83,,,,,
OPRC-DLV0000957,188.56,218.73,,,,,
OPRC-DLV0000958,234.52,272.52,,,,,
OPRC-DLV0000959,207.31,240.48,,,,,
OPRC-DLV0000961,170.5,191.76,,,,,
OPRC-DLV0000992,741.4,850.02,,,,,
OPRC-DLV0000993,189.65,219.99,,,,,
OPRC-DLV0000994,1472.93,1668.17,,,,,
OPRC-DLV0000996,548.58,614.42,,,,,
OPRC-DLV0000997,150,174,,,,,
OPRC-DLV0000998,672.66,753.38,,,,,
OPRC-DLV0001001,650,874.16,,,,,
OPRC-DLV0001005,1320.01,1478.41,,,,,
OPRC-DLV0001010,350,406,,,,,
OPRC-DLV0001047,611.38,684.74,,,,,
OPRC-DLV0001048,1268,1420.16,,,,,
OPRC-DLV0001054,149.5,169.24,,,,,
OPRC-DLV0001060,654,733.97,,,,,
OPRC-DLV0001064,719.87,814.02,,,,,
OPRC-DLV0001067,212,212,,,,,
OPRC-DLV0001101,352.01,394.25,,,,,
OPRC-DLV0001115,261.39,293.15,,,,,
OPRC-DLV0001135,305.35,342.4,,,,,
OPRC-DLV0001202,176.39,204.61,,,,,
OPRC-DLV0001203,176.39,204.61,,,,,
OPRC-DLV0001204,163.54,189.71,,,,,
OPRC-DLV0001205,163.54,189.71,,,,,
OPRC-DLV0001206,150.69,174.8,,,,,
OPRC-DLV0001207,176.39,204.61,,,,,
OPRC-DLV0001208,176.39,204.61,,,,,
OPRC-DLV0001209,189.24,219.52,,,,,
OPRC-DLV0001210,150.69,174.8,,,,,
OPRC-DLV0001211,163.54,189.71,,,,,
OPRC-DLV0001212,150.69,174.8,,,,,
OPRC-DLV0001213,227.79,264.24,,,,,
OPRC-DLV0001214,189.24,219.52,,,,,
OPRC-DLV0001215,163.54,189.71,,,,,
OPRC-DLV0001216,150.69,174.8,,,,,
OPRC-DLV0001217,452.43,524.82,,,,,
OPRC-DLV0001218,214.94,249.33,,,,,
OPRC-DLV0001219,189.79,220.16,,,,,
OPRC-DLV0001220,189.24,219.52,,,,,
OPRC-DLV0001221,137.84,159.89,,,,,
OPRC-DLV0001222,137.84,159.89,,,,,
OPRC-DLV0001223,176.39,204.61,,,,,
OPRC-DLV0001224,189.24,219.52,,,,,
OPRC-DLV0001225,413.44,479.59,,,,,
OPRC-DLV0001226,792.39,919.17,,,,,
OPRC-DLV0001227,137.84,159.89,,,,,
OPRC-DLV0001228,150.69,174.8,,,,,
OPRC-DLV0001229,330.59,383.48,,,,,
OPRC-DLV0001230,137.84,159.89,,,,,
OPRC-DLV0001231,163.54,189.71,,,,,
OPRC-DLV0001232,343.44,398.39,,,,,
OPRC-DLV0001233,253.49,294.05,,,,,
OPRC-DLV0001234,137.84,159.89,,,,,
OPRC-DLV0001235,288.15,334.25,,,,,
OPRC-DLV0001236,137.84,159.89,,,,,
OPRC-DLV0001237,137.84,159.89,,,,,
OPRC-DLV0001238,150.69,174.8,,,,,
